Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
Hemodynamic Instability during Dialysis: The Potential Role of Intradialytic Exercise,https://pureportal.coventry.ac.uk/en/publications/hemodynamic-instability-during-dialysis-the-potential-role-of-int,27-Feb-18,"['McGuire, S.', 'Horton, E. J.', 'Renshaw, D.', 'Jimenez, A.', 'McGregor, G.']","['https://pureportal.coventry.ac.uk/en/persons/scott-mcguire-2', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/derek-renshaw', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez', 'https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor']"
,,,,
Hydrophobically-modified chitosan nanoliposomes for intestinal drug delivery,https://pureportal.coventry.ac.uk/en/publications/hydrophobically-modified-chitosan-nanoliposomes-for-intestinal-dr,27-Sep-18,"['Farnaud, S.', 'Renshaw, D.']","['https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud', 'https://pureportal.coventry.ac.uk/en/persons/derek-renshaw']"
,,,,
Identity development in Premier League academy football,https://pureportal.coventry.ac.uk/en/publications/identity-development-in-premier-league-academy-football,2018,"[""O'Halloran, L.""]",['https://pureportal.coventry.ac.uk/en/persons/lisa-ohalloran']
,,,,
Impact of ageing and a synbiotic on the immune response to seasonal influenza vaccination; a randomised controlled trial,https://pureportal.coventry.ac.uk/en/publications/impact-of-ageing-and-a-synbiotic-on-the-immune-response-to-season,Apr-18,"['Dong, H.']",['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
,,,,
Importance of Propionibacterium acnes hemolytic activity in human intervertebral discs: A microbiological study,https://pureportal.coventry.ac.uk/en/publications/importance-of-propionibacterium-acnes-hemolytic-activity-in-human,29-Nov-18,"['Rollason, J.']",['https://pureportal.coventry.ac.uk/en/persons/jess-rollason']
,,,,
Injury Surveillance of Nonprofessional Salsa Dance,https://pureportal.coventry.ac.uk/en/publications/injury-surveillance-of-nonprofessional-salsa-dance,Oct-18,"['Domene, P. A.', 'Stanley, M.', 'Skamagki, G.']","['https://pureportal.coventry.ac.uk/en/persons/pablo-domene', 'https://pureportal.coventry.ac.uk/en/persons/michelle-evans', 'https://pureportal.coventry.ac.uk/en/persons/glykeria-skamagki']"
,,,,
Investigating the transmissibility of tet(W) in bifidobacteria exposed to acid and bile stress,https://pureportal.coventry.ac.uk/en/publications/investigating-the-transmissibility-of-tetw-in-bifidobacteria-expo,13-Apr-18,"['Amund, D.']",['https://pureportal.coventry.ac.uk/en/persons/daniel-amund']
,,,,
Involvement of mitogen activated kinase kinase 7 intracellular signalling pathway in Sunitinib-induced cardiotoxicity,https://pureportal.coventry.ac.uk/en/publications/involvement-of-mitogen-activated-kinase-kinase-7-intracellular-si,01-Feb-18,"['Sandhu, H.', 'Maddock, H.']","['https://pureportal.coventry.ac.uk/en/persons/hardip-sandhu', 'https://pureportal.coventry.ac.uk/en/persons/helen-maddock']"
,,,,
Macronutrient composition for weight loss in obesity,https://pureportal.coventry.ac.uk/en/publications/macronutrient-composition-for-weight-loss-in-obesity,2018,[],[]
,,,,
Making Waves Final Report: Evaluation of the Making Waves:RIPPLE2 Spread Project,https://pureportal.coventry.ac.uk/en/publications/making-waves-final-report-evaluation-of-the-making-wavesripple2-s,30-Apr-18,"['Sewell, L.', 'Monkhouse, J.', 'Khan, A.']","['https://pureportal.coventry.ac.uk/en/persons/louise-sewall', 'https://pureportal.coventry.ac.uk/en/persons/joy-monkhouse', 'https://pureportal.coventry.ac.uk/en/persons/amir-khan']"
,,,,
Microbiota of the gut: Antibiotic-Induced Dysbiosis and the Adverse Effects on Human Health,https://pureportal.coventry.ac.uk/en/publications/microbiota-of-the-gut-antibiotic-induced-dysbiosis-and-the-advers,16-Oct-18,"['Morozov, I.']",['https://pureportal.coventry.ac.uk/en/persons/igor-morozov']
,,,,
Modulation of regulatory T cells by targeting the NFAT-FOXP3 protein: protein interaction,https://pureportal.coventry.ac.uk/en/publications/modulation-of-regulatory-t-cells-by-targeting-the-nfat-foxp3-prot,2018,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Movement Velocity during High- and Low-Velocity Resistance Exercise Protocols in Older Adults,https://pureportal.coventry.ac.uk/en/publications/movement-velocity-during-high-and-low-velocity-resistance-exercis,Jul-18,"['Duncan, M.', 'Jimenez, A.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
MTH1 deficiency selectively increases non-cytotoxic oxidative DNA damage in lung cancer cells: more bad news than good?,https://pureportal.coventry.ac.uk/en/publications/mth1-deficiency-selectively-increases-non-cytotoxic-oxidative-dna,16-Apr-18,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Next Day Subjective and Objective Recovery Indices Following Acute Low and High Training Loads in Academy Rugby Union Players,https://pureportal.coventry.ac.uk/en/publications/next-day-subjective-and-objective-recovery-indices-following-acut,15-Jun-18,"['Noon, M.', 'James, R.', 'Clarke, N.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Nickel-based nanoparticles for carbon monoxide gas sensing applications,https://pureportal.coventry.ac.uk/en/publications/nickel-based-nanoparticles-for-carbon-monoxide-gas-sensing-applic,2018,"['Tarttelin Hernandez, P.']",['https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez']
,,,,
Nutritional Guidelines are we getting them so wrong or are we getting lost in translation?,https://pureportal.coventry.ac.uk/en/publications/nutritional-guidelines-are-we-getting-them-so-wrong-or-are-we-get,01-Jun-18,[],[]
,,,,
Pectin coating of titanium and polystyrene surfaces modulates the macrophage inflammatory response,https://pureportal.coventry.ac.uk/en/publications/pectin-coating-of-titanium-and-polystyrene-surfaces-modulates-the,21-May-18,"['Burke, B.']",['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
,,,,
PHENOS: a high-throughput and flexible tool for microorganism growth phenotyping on solid media,https://pureportal.coventry.ac.uk/en/publications/phenos-a-high-throughput-and-flexible-tool-for-microorganism-grow,24-Jan-18,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Physiological Responses to Treadmill Running With Body Weight Support in Hypoxia Compared With Normoxia,https://pureportal.coventry.ac.uk/en/publications/physiological-responses-to-treadmill-running-with-body-weight-sup,2018,"['Lee, B. J.', 'Thake, C. D.']","['https://pureportal.coventry.ac.uk/en/persons/ben-lee', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Plyometric technical models: biomechanical principles,https://pureportal.coventry.ac.uk/en/publications/plyometric-technical-models-biomechanical-principles,Jun-18,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
Presentation and communication of results,https://pureportal.coventry.ac.uk/en/publications/presentation-and-communication-of-results,Oct-18,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
Quadriplegia: The challenge of thermoregulation,https://pureportal.coventry.ac.uk/en/publications/quadriplegia-the-challenge-of-thermoregulation,Jul-18,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
"Relationships between Motor Competence, Physical Activity, and Obesity in British Preschool Aged Children",https://pureportal.coventry.ac.uk/en/publications/relationships-between-motor-competence-physical-activity-and-obes,21-Nov-18,"['Eyre, E.', 'Oxford, S.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
"Reliability, validity and measurement error",https://pureportal.coventry.ac.uk/en/publications/reliability-validity-and-measurement-error,Oct-18,"['Mundy, P.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/peter-mundy', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
"Role of Dietitians in the Leadership of Evidence Based Practice, Quality and Audit",https://pureportal.coventry.ac.uk/en/publications/role-of-dietitians-in-the-leadership-of-evidence-based-practice-q,09-Jan-18,[],[]
,,,,
S-acylation regulates the trafficking and stability of the unconventional Q-SNARE STX19,https://pureportal.coventry.ac.uk/en/publications/s-acylation-regulates-the-trafficking-and-stability-of-the-unconv,22-Oct-18,"['Greaves, J.']",['https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves']
,,,,
Seasonal changes in physical qualities of elite youth soccer players according to maturity status: comparisons with aged matched controls,https://pureportal.coventry.ac.uk/en/publications/seasonal-changes-in-physical-qualities-of-elite-youth-soccer-play,23-Mar-18,"['Morris, R.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
Self-perceived and Actual Motor Competence in Young British Children,https://pureportal.coventry.ac.uk/en/publications/self-perceived-and-actual-motor-competence-in-young-british-child,01-Apr-18,"['Duncan, M.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Sugar and Cocoa: Sweet Synergy or Bitter Antagonisms: Formulating Cocoa and Chocolate Products for Health: A Narrative Review,https://pureportal.coventry.ac.uk/en/publications/sugar-and-cocoa-sweet-synergy-or-bitter-antagonisms-formulating-c,Jan-18,"['Amund, D.']",['https://pureportal.coventry.ac.uk/en/persons/daniel-amund']
,,,,
The Acute Physiological Effects of High and Low Velocity Resistance Exercise in Older Adults,https://pureportal.coventry.ac.uk/en/publications/the-acute-physiological-effects-of-high-and-low-velocity-resistan,Sep-18,"['Duncan, M.', 'Jimenez, A.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
The association between sleeping time and metabolic syndrome features among older adults living in Mediterranean region. The MEDIS study.,https://pureportal.coventry.ac.uk/en/publications/the-association-between-sleeping-time-and-metabolic-syndrome-feat,01-Feb-18,[],[]
,,,,
The characteristics of competitive organ transplant athletes,https://pureportal.coventry.ac.uk/en/publications/the-characteristics-of-competitive-organ-transplant-athletes,Nov-18,"['Leddington Wright, S.', 'Thake, D.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
The Effect of Increasing Age on the Concentric and Eccentric Contractile Properties of Isolated Mouse Soleus and Extensor Digitorum Longus Muscles,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-increasing-age-on-the-concentric-and-eccentric-cont,17-Apr-18,"['James, R. S.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
The effects of 10 weeks Integrated Neuromuscular Training on fundamental movement skills and physical self-efficacy in 6-7 year old children,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-10-weeks-integrated-neuromuscular-training-on-fund-2,01-Dec-18,"['Duncan, M.', 'Eyre, E.', 'Oxford, S.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford']"
,,,,
"The effects of exercise referral schemes in the United Kingdom in those with cardiovascular, mental health, and musculoskeletal disorders: a preliminary systematic review",https://pureportal.coventry.ac.uk/en/publications/the-effects-of-exercise-referral-schemes-in-the-united-kingdom-in,02-Aug-18,"['Rowley, N.', 'Horton, E.', 'Jimenez, A.']","['https://pureportal.coventry.ac.uk/en/persons/nikita-rowley', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez']"
,,,,
The Effects of Low and Moderate Dose Caffeine Supplementation on Upper and Lower Body Maximal Voluntary Concentric and Eccentric Muscle Force,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-low-and-moderate-dose-caffeine-supplementation-on-,Mar-18,"['Tallis, J.']",['https://pureportal.coventry.ac.uk/en/persons/jason-tallis']
,,,,
The effects of obesity on skeletal muscle contractile function,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-obesity-on-skeletal-muscle-contractile-function,Jul-18,"['Tallis, J.', 'James, R.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
The effects of the Mediterranean diet on rheumatoid arthritis prevention and treatment: a systematic review of human prospective studies,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-the-mediterranean-diet-on-rheumatoid-arthritis-pre,May-18,[],[]
,,,,
"The influence of caffeine expectancies on sport, exercise and cognitive performance",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-caffeine-expectancies-on-sport-exercise-and-cogn,17-Oct-18,"['Tallis, J.']",['https://pureportal.coventry.ac.uk/en/persons/jason-tallis']
,,,,
"The perceptual responses to high-velocity, low-load and low-velocity, high-load resistance exercise in older adults",https://pureportal.coventry.ac.uk/en/publications/the-perceptual-responses-to-high-velocity-low-load-and-low-veloci,2018,"['Duncan, M.', 'Jimenez, A.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
The relationship of gross upper and lower limb motor competence to measures of health and fitness in adolescents aged 13–14 years,https://pureportal.coventry.ac.uk/en/publications/the-relationship-of-gross-upper-and-lower-limb-motor-competence-t,08-Mar-18,[],[]
,,,,
"Thermodynamics, transport phenomena, and electrochemistry of external field-assisted nonthermal food technologies",https://pureportal.coventry.ac.uk/en/publications/thermodynamics-transport-phenomena-and-electrochemistry-of-extern,24-Jul-18,[],[]
,,,,
Thermoregulation following spinal cord injury,https://pureportal.coventry.ac.uk/en/publications/thermoregulation-following-spinal-cord-injury,2018,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
